com.samsung.shealth.exercise.weather,6311013,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,0,2025-06-05 11:03:34.796,51.407246,,SSW. 200,Showers in the Vicinity,0,1,TWC,2025-06-05 11:03:34.802,2025-06-05 11:03:34.802,1,5.4531636,17.0,72,UTC+0200,h6hg6DTKNp,6bf23ee7-2132-447a-a27c-b0fc362b51d0,com.sec.android.app.shealth,km/h,0,21.0,3,6aa6deae-fe8d-402b-9d28-daff82f47f85,
,0,2025-06-05 20:12:11.735,51.43503,,S. 180,Cloudy,0,1,TWC,2025-06-05 20:12:11.740,2025-06-05 20:12:11.740,1,5.464311,15.0,90,UTC+0200,h6hg6DTKNp,04322e1e-3480-4cb3-a2c2-a488adcc0e21,com.sec.android.app.shealth,km/h,0,18.0,3,f83416ef-a5cb-47ac-82c8-4291f73c86b3,
,0,2025-06-05 20:41:21.277,51.442913,,S. 180,Rain Shower,0,1,TWC,2025-06-05 20:41:21.285,2025-06-05 20:41:21.285,1,5.4659543,14.0,96,UTC+0200,h6hg6DTKNp,17a8092d-e89e-48a1-9978-f22cd58070e3,com.sec.android.app.shealth,km/h,0,16.0,5,ba5c506e-ad74-4331-bc31-699b66a3bab6,
,0,2025-06-06 21:11:03.587,51.44272,,SSW. 200,Cloudy,0,1,TWC,2025-06-06 21:11:03.590,2025-06-06 21:11:03.590,1,5.465895,15.0,85,UTC+0200,h6hg6DTKNp,96e61a67-5881-4b57-8acc-f6ed982b0438,com.sec.android.app.shealth,km/h,0,8.0,3,3448c2ea-704c-461d-a2ef-d359b2ab66c7,
,0,2025-06-07 14:50:01.245,51.441837,,WSW. 240,Showers in the Vicinity,0,1,TWC,2025-06-07 14:50:01.257,2025-06-07 14:50:01.257,1,5.4561443,17.0,73,UTC+0200,h6hg6DTKNp,68c2ec57-a3fe-411e-8980-d4a1accbd7ef,com.sec.android.app.shealth,km/h,0,16.0,3,a6e9e2b8-ddcb-4655-9a14-ad124e828d55,
,0,2025-06-07 17:48:24.584,51.442722,,SW. 230,Cloudy,0,1,TWC,2025-06-07 17:48:24.601,2025-06-07 17:48:24.601,1,5.465894,17.0,68,UTC+0200,h6hg6DTKNp,d479d5b8-d027-4230-b768-729192ef4301,com.sec.android.app.shealth,km/h,0,13.0,3,3f579aa3-6d92-4e8f-a5de-c6162edefd34,
,0,2025-06-08 14:31:02.463,51.435936,,W. 260,Partly Cloudy,0,1,TWC,2025-06-08 14:31:02.470,2025-06-08 14:31:02.470,1,5.4298215,17.0,48,UTC+0200,h6hg6DTKNp,bfc6b27e-5151-4426-b770-9534fb321f98,com.sec.android.app.shealth,km/h,0,27.0,2,429e2b89-7d11-47b6-b22f-db1ea4a8ec80,
,0,2025-06-08 15:35:02.264,51.440792,,W. 260,Showers in the Vicinity,0,1,TWC,2025-06-08 15:35:02.271,2025-06-08 15:35:02.271,1,5.4531617,16.0,50,UTC+0200,h6hg6DTKNp,17b8960d-5d76-4c61-9848-c3c7cdc7d3bb,com.sec.android.app.shealth,km/h,0,27.0,2,01f9894a-f550-41b6-bbd5-c326a16982f9,
,0,2025-06-08 16:01:57.544,51.442757,,W. 260,Showers in the Vicinity,0,1,TWC,2025-06-08 16:01:57.550,2025-06-08 16:01:57.550,1,5.4658813,16.0,51,UTC+0200,h6hg6DTKNp,281d994c-2ff7-4599-98ac-17c49a3a3645,com.sec.android.app.shealth,km/h,0,26.0,2,c5cd0849-944c-49c3-9464-c0aa9e078116,
,0,2025-06-09 16:15:44.895,51.45103,,W. 270,Cloudy,0,1,TWC,2025-06-09 16:15:44.900,2025-06-09 16:15:44.900,1,5.4647923,20.0,50,UTC+0200,h6hg6DTKNp,0b919580-fdc8-4131-a9f8-e13ab9201777,com.sec.android.app.shealth,km/h,0,13.0,3,4320f600-256b-4883-a83e-a09e75b4a6cf,
