com.samsung.shealth.hsp.references,6311013,1
hsp_id,shealth_id,update_time,create_time,shealth_data_type,deviceuuid,pkg_name,datauuid
9eb446ec-902d-4c14-847e-8784af245452,0c286ac1-c0a4-482b-ab16-fab4b63f9d3f,2026-03-19 12:14:41.392,2026-03-19 12:14:41.392,10000,P1FU22eseu,com.sec.android.app.shealth,cdd4ba96-ce79-48fc-8149-111a9c18577d,
f0859518-eaac-41ee-bce4-12980bdfb452,04e64447-dd63-49fe-92ab-2b8f1c406b36,2026-03-19 12:32:50.532,2026-03-19 12:32:50.532,10002,P1FU22eseu,com.sec.android.app.shealth,d8ee39c5-6d39-474e-9f42-8d0743c264a8,
71f4b9f8-a3d2-48f6-be30-59f9b3279584,ec325eb4-b26b-4564-b1f8-09381119920a,2026-03-19 12:32:50.538,2026-03-19 12:32:50.538,10002,P1FU22eseu,com.sec.android.app.shealth,8c22892b-284f-485d-ac21-73884a18a724,
da2145ad-5c7e-4544-8813-f68d8687581c,1b094535-4fdd-49e3-b43b-25fbf8148561,2026-03-19 12:32:50.540,2026-03-19 12:32:50.540,10002,P1FU22eseu,com.sec.android.app.shealth,edf433a2-004f-4720-bcd6-48ddb11c5c0b,
9354a7bd-c58a-4893-a2e3-5e9f0bd5a2f0,83e66661-4d1e-4450-b595-8ed369b5c9b4,2026-03-19 12:32:50.543,2026-03-19 12:32:50.543,10002,P1FU22eseu,com.sec.android.app.shealth,cd92df87-57e1-4469-903c-da919db7d625,
e9c4561b-78b7-4c63-9452-c62576250c59,ea6fc317-04a1-4298-91c6-b1d221518e35,2026-03-19 12:32:50.546,2026-03-19 12:32:50.546,10002,P1FU22eseu,com.sec.android.app.shealth,b3538dd3-49e9-4fd6-9c77-5022e6a3e759,
a2109304-4d70-4440-a901-5d593dbedc6d,b506b6e8-2086-4473-8df8-5482eaaab52a,2026-03-19 12:32:50.549,2026-03-19 12:32:50.549,10002,P1FU22eseu,com.sec.android.app.shealth,7d3f737c-0abe-4db4-b7d4-80fcf1d0a088,
bef3baa2-5235-4a9a-aff0-9dbf04290bea,3f96a068-48bd-48cc-bf77-c9459a63cd9f,2026-03-19 12:32:50.551,2026-03-19 12:32:50.551,10002,P1FU22eseu,com.sec.android.app.shealth,c61e5fe3-24cc-45f6-b5ef-930d5a5f2b91,
29607403-e487-4f99-96cc-13e365cd5d26,9b2f0319-5169-4cf3-a1f9-ca2eaf8ff764,2026-03-19 12:32:50.554,2026-03-19 12:32:50.554,10002,P1FU22eseu,com.sec.android.app.shealth,1287e324-973d-4517-a8a8-deb27beaa1ac,
c45e7c09-248b-4849-98e0-3afa7bcad928,c70d428f-539e-4207-969f-3dc50a844138,2026-03-19 12:32:50.557,2026-03-19 12:32:50.557,10002,P1FU22eseu,com.sec.android.app.shealth,28f97d32-2db8-45b1-900d-f0e2964a5311,
6772d920-f43b-42a6-934c-595fab632565,439691a3-e23f-48ae-8a73-b2587e5708b2,2026-03-19 12:32:50.559,2026-03-19 12:32:50.559,10002,P1FU22eseu,com.sec.android.app.shealth,b407d4cf-097b-4b06-a986-ccf9691a12ef,
c9656474-129c-43ce-aad7-808c43d9310d,30619598-a3f3-41dc-b671-3a233363eece,2026-03-19 12:32:50.562,2026-03-19 12:32:50.562,10002,P1FU22eseu,com.sec.android.app.shealth,affacdda-e88a-437a-8c8c-ec84da3f8845,
c06a4751-667b-4a32-8318-a2583482e7e6,0854bd3f-9c50-468a-9e21-a77f5569a67e,2026-03-19 12:39:33.478,2026-03-19 12:39:33.478,10001,P1FU22eseu,com.sec.android.app.shealth,c41b880a-223c-465e-b0db-c629f891197d,
8f8b9aa8-067e-44a3-81a6-f6d56a1d71b3,57727028-e196-4fce-a056-4a65a6c18999,2026-03-19 12:39:33.605,2026-03-19 12:39:33.605,10001,P1FU22eseu,com.sec.android.app.shealth,14b6d7d4-e5d7-4924-958c-86e7f7b50ada,
6891dbd2-2b85-461d-b967-03a6dc16b6e7,f8e3a01e-c86d-467e-b12a-a5a806d80c5d,2026-03-19 12:39:33.681,2026-03-19 12:39:33.681,10001,P1FU22eseu,com.sec.android.app.shealth,4938abdc-b6fb-4960-88f2-040a8cfb8a11,
ea0a4ee1-feb8-4cb0-908f-85e4aba22288,7278505b-3502-4f02-a13f-27842d428cfd,2026-03-19 12:39:33.761,2026-03-19 12:39:33.761,10001,P1FU22eseu,com.sec.android.app.shealth,e605129d-87a5-40bf-9bab-1cf54607cef4,
7c91b63c-8cd3-4962-80ae-291ed7bec588,d6bc40be-b32a-4b0d-9d80-dd2aa94c2e35,2026-03-19 12:39:33.828,2026-03-19 12:39:33.828,10001,P1FU22eseu,com.sec.android.app.shealth,4c618881-f230-4ff1-aca3-4504958f9e9a,
e6edc5c5-58a3-412c-b291-07f9a0f261fd,6c9b4428-1d2b-4674-9421-3154dc61e4f4,2026-03-19 12:39:33.896,2026-03-19 12:39:33.896,10001,P1FU22eseu,com.sec.android.app.shealth,37c1a408-2929-40f9-a8e9-6bbfec6352ec,
d617c7ce-1e7b-4b3b-8366-638978652683,7e894ae0-ae1b-47a2-a297-c85caffc7527,2026-03-19 12:39:33.940,2026-03-19 12:39:33.940,10001,P1FU22eseu,com.sec.android.app.shealth,316fe9a7-1284-4282-b52b-5fb6321150ce,
fc79dc24-0af8-4d28-bf8e-4a787093fc67,8a99f562-b60d-4e32-bf39-fdbef6af75b5,2026-03-19 12:39:33.984,2026-03-19 12:39:33.984,10001,P1FU22eseu,com.sec.android.app.shealth,f9fc4866-2359-404e-94d0-028b62d5cebb,
3d16ed5e-44b1-42fe-9d2e-d7af9f082c65,f96895ef-e8a1-496d-b938-8a0ea6aa7501,2026-03-19 12:39:34.027,2026-03-19 12:39:34.027,10001,P1FU22eseu,com.sec.android.app.shealth,f7247871-bebb-42e0-9f33-c6c9eb81e3a0,
bf71c29a-de8d-476a-b3ab-e9b0c3beeaa1,a2495555-676c-4170-8510-3b0d532bce1e,2026-03-19 12:39:34.064,2026-03-19 12:39:34.064,10001,P1FU22eseu,com.sec.android.app.shealth,b7089052-04b7-44fe-a625-7ee104a75df7,
0006266c-9d0a-4f79-a11f-6bdbb3d39a43,5f8d3ea7-4895-4528-af2a-62097dae1e7f,2026-03-19 12:39:34.104,2026-03-19 12:39:34.104,10001,P1FU22eseu,com.sec.android.app.shealth,412082a0-baa7-4e3b-a1d2-e016b7547613,
ccb4ecb4-5b4e-4b37-b37e-3ef2bc524731,9bfa6999-210a-4d6b-9fa1-793ecdba4e4f,2026-03-19 12:39:34.147,2026-03-19 12:39:34.147,10001,P1FU22eseu,com.sec.android.app.shealth,fb46b7a8-e045-43c4-83f5-b2cf12a25a45,
39fdf3f1-d487-4509-a156-7faf0fd96540,89389568-2af1-4f55-baa4-63c22ae83cca,2026-03-19 12:39:34.191,2026-03-19 12:39:34.191,10001,P1FU22eseu,com.sec.android.app.shealth,27ca8be3-61b7-4659-8a21-b75467925f25,
e0da4f0f-c272-45a2-8723-6541420b14bf,ad796b19-e906-4369-9448-a57533331aea,2026-03-19 12:39:34.228,2026-03-19 12:39:34.228,10001,P1FU22eseu,com.sec.android.app.shealth,1fd49a0a-dbfa-44ec-8e85-76f38fb26b8a,
